metric,name_zh,formula,range,direction,meaning
client_vote_consensus_ratio,全客户端标签共识比例,max_y sum_i I[argmax(p_i)=y] / M,"[0,1]",越大越一致,37 个客户端中支持同一多数标签的最大比例，只比较最终类别。
client_label_consensus_score,全客户端标签熵共识得分,1 - H(q) / ln(K),"[0,1]",越大越一致,根据客户端投票标签分布 q 衡量意见是否集中，可区分反对意见集中或分散。
client_probability_consensus_score,全客户端概率共识得分,1 - [H(mean(p_i)) - mean(H(p_i))] / ln(K),"[0,1]",越大越一致,比较完整的 10 维概率分布；即使最终标签相同，置信结构不同也会降低该得分。
within_edge_probability_consensus_score,域内概率共识得分,1 - weighted_mean_e(GJSD({p_i | i in C_e})),"[0,1]",越大越一致,先在每个动态边缘组内计算客户端概率分歧，再按组内客户端数加权。
edge_probability_consensus_score,边缘模型间概率共识得分,1 - GJSD({p_e}),"[0,1]",越大越一致,衡量当前轮各有效边缘聚合模型对同一探针的输出是否一致；少于两个边缘时不定义。
client_cloud_alignment_score,客户端到云概率对齐得分,"1 - mean_i(JS(p_i, p_g) / ln(2))","[0,1]",越大越对齐,衡量每个客户端概率分布与云模型概率分布的平均接近程度。
edge_cloud_alignment_score,边缘到云概率对齐得分,"1 - mean_e(JS(p_e, p_g) / ln(2))","[0,1]",越大越对齐,衡量有效边缘模型与云模型之间的概率输出接近程度。
client_cloud_label_agreement,客户端与云标签一致比例,sum_i I[argmax(p_i)=argmax(p_g)] / M,"[0,1]",越大越一致,37 个客户端中最终预测标签与云模型标签相同的比例。
cloud_confidence,云模型置信度,max_y p_g(y),"[0,1]",越大表示云输出更集中,云模型对其首选类别给出的概率，不等价于多客户端共识，也不保证预测正确。
cloud_margin,云模型概率间隔,top1(p_g) - top2(p_g),"[0,1]",越大表示决策边界更明确,云模型最高概率与次高概率之差，用于判断当前决策是否犹豫。
correct_soft_consensus,正确软共识事件,I[A >= tau_soft and cloud_prediction = true_label],"{0,1}",平均值越大越好,达到软共识且云端决策正确；需要 probe_meta.csv 中的 true_label。
wrong_soft_consensus,错误软共识事件,I[A >= tau_soft and cloud_prediction != true_label],"{0,1}",平均值越小越好,达到软共识但云端决策错误；这是防止高一致性掩盖集体错误的关键护栏。
